Unidades,Nombre,#DescubreElHobby,#IngenioEstratega,#NivelExperto,#CreaConexiones,#EquipoGanador,#DuelosMemorables,#InicioRápido,#GestionaTusRecursos,#DominaElTablero,#ArteEnLaMesa,Peso_BGG,Min_Jugadores,Max_Jugadores,Tiempo_Juego,Rating_BGG,Mecanicas,Categorias,Link_BGG,BGG_ID,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7
1,On Mars,No,no,si,no,no,No,No,si,no,no,4.63,1,4,150,8.2,"
Contracts
Delayed Purchase
End Game Bonuses
Hexagon Grid
Income
Movement Points
Moving Multiple Units
Set Collection
Solo / Solitaire Game
Tech Trees / Tech Tracks
Tile Placement
Variable Phase Order
Worker Placement",,https://boardgamegeek.com/boardgame/184267,184267,,,,,,,
1,Through the Ages: A New Story of Civilization,No,Sí,no,no,no,No,No,si,no,no,4.42,2,4,240,8.3,,,https://boardgamegeek.com/boardgame/182028,182028,,,,,,,
1,Gaia Project,no,no,si,no,no,no,no,si,si,si,4.4,2,4,150,8.4,"
End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
Tags
Tech Trees / Tech Tracks
Turn Order: Pass Order
Variable Player Powers
Variable Set-up
Victory Points as a Resource",,https://boardgamegeek.com/boardgame/220308/gaia-project,220308,,,,,,,
1,The Gallerist,No,No,Si,NO,NO,No,No,NO,NO,NO,4.22,1,4,150,8,"Commodity Speculation
Contracts
Investment
Open Drafting
Point to Point Movement
Resource to Move
Set Collection
Solo / Solitaire Game
Victory Points as a Resource
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/125153,125153,,,,,,,
1,Sankore,no,no,si,no,no,no,no,si,no,no,4.2,1,4,180,8,"Action Points
Area Majority / Influence
Contracts
End Game Bonuses
Point to Point Movement
Resource Queue
Simulation
Solo / Solitaire Game
Tech Trees / Tech Tracks
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/382518/sankore-the-pride-of-mansa-musa,382518,,,,,,,
1,Nucleum,no,no,si,no,no,no,no,si,no,no,4.19,1,4,150,8.1,"Action Retrieval
Contracts
End Game Bonuses
Hand Management
Income
Market
Network and Route Building
Solo / Solitaire Game
Tech Trees / Tech Tracks
Variable Player Powers",,https://boardgamegeek.com/boardgame/396790/nucleum,396790,,,,,,,
1,Cooper Island,no,no,si,no,si,no,no,si,si,si,4.16,1,4,120,7.6,"Income
Layering
Tile Placement
Turn Order: Claim Action
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/269511/cooper-island,269511,,,,,,,
1,Sweet Lands,no,no,si,no,no,no,no,si,no,si,4.14,1,4,200,8.2,"Hexagon Grid
Solo / Solitaire Game
Tile Placement
Variable Player Powers",,https://boardgamegeek.com/boardgame/425445,425445,,,,,,,
1,Barrage,No,Sí,no,no,no,No,No,si,no,no,4.12,1,4,180,8.1,"
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
Solo / Solitaire Game
Turn Order: Stat-Based
Variable Player Powers
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/251247,251247,,,,,,,
1,Spirit Island,no,no,si,no,si,no,no,si,no,no,4.08,1,4,120,8.3,"
Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Modular Board
Simultaneous Action Selection
Solo / Solitaire Game
Tags
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/162886/spirit-island,162886,,,,,,,
